Time, Projected Occupancy,  num_parked_ios, num_parked_android, num_parked
02/06 02:49 PM,29 %,4,0,4
02/06 02:57 PM,36 %,5,0,5
02/06 03:32 PM,29 %,4,0,4
02/06 04:28 PM,21 %,3,0,3
02/06 04:33 PM,14 %,2,0,2
02/06 05:18 PM,7 %,1,0,1
02/06 06:49 PM,14 %,2,0,2
02/06 08:14 PM,7 %,1,0,1
02/06 08:14 PM,0 %,0,0,0
02/07 07:20 AM,7 %,1,0,1
02/07 07:20 AM,14 %,2,0,2
02/07 07:21 AM,7 %,1,0,1
02/07 07:23 AM,14 %,2,0,2
02/07 08:23 AM,21 %,3,0,3
02/07 08:23 AM,29 %,4,0,4
02/07 08:25 AM,36 %,5,0,5
02/07 08:41 AM,46 %,6,0,6
02/07 08:43 AM,38 %,5,0,5
02/07 10:02 AM,46 %,6,0,6
02/07 10:42 AM,54 %,7,0,7
02/07 01:47 PM,62 %,8,0,8
02/07 01:57 PM,69 %,9,0,9
02/07 01:59 PM,62 %,8,0,8
02/07 02:20 PM,54 %,7,0,7
02/07 02:36 PM,62 %,8,0,8
02/07 02:37 PM,69 %,9,0,9
02/07 02:38 PM,77 %,10,0,10
02/07 02:51 PM,69 %,9,0,9
02/07 02:55 PM,77 %,10,0,10
02/07 03:06 PM,69 %,9,0,9
02/07 03:37 PM,62 %,8,0,8
02/07 04:01 PM,54 %,7,0,7
02/07 04:02 PM,46 %,6,0,6
02/07 04:04 PM,38 %,5,0,5
02/07 04:16 PM,46 %,6,0,6
02/07 04:32 PM,31 %,4,0,4
02/07 04:36 PM,38 %,5,0,5
02/07 04:38 PM,31 %,4,0,4
02/07 04:42 PM,38 %,5,0,5
02/07 05:15 PM,15 %,2,0,2
02/07 06:09 PM,8 %,1,0,1
02/07 08:11 PM,0 %,0,0,0
02/08 06:50 AM,8 %,1,0,1
02/08 07:14 AM,15 %,2,0,2
02/08 07:16 AM,23 %,3,0,3
02/08 07:17 AM,15 %,2,0,2
02/08 07:48 AM,23 %,3,0,3
02/08 08:11 AM,31 %,4,0,4
02/08 08:20 AM,38 %,5,0,5
02/08 08:22 AM,46 %,6,0,6
02/08 08:34 AM,54 %,7,0,7
02/08 08:51 AM,62 %,8,0,8
02/08 09:09 AM,69 %,9,0,9
02/08 09:34 AM,62 %,8,0,8
02/08 09:35 AM,69 %,9,0,9
02/08 09:44 AM,62 %,8,0,8
02/08 10:24 AM,54 %,7,0,7
02/08 10:31 AM,46 %,6,0,6
02/08 11:06 AM,54 %,7,0,7
02/08 11:24 AM,38 %,5,0,5
02/08 11:44 AM,31 %,4,0,4
02/08 12:00 PM,38 %,5,0,5
02/08 12:02 PM,31 %,4,0,4
02/08 12:25 PM,23 %,3,0,3
02/08 12:35 PM,15 %,2,0,2
02/08 01:09 PM,23 %,3,0,3
02/08 01:12 PM,31 %,4,0,4
02/08 01:19 PM,23 %,3,0,3
02/08 01:19 PM,31 %,4,0,4
02/08 01:29 PM,38 %,5,0,5
02/08 02:16 PM,31 %,4,0,4
02/08 02:16 PM,38 %,5,0,5
02/08 02:20 PM,31 %,4,0,4
02/08 02:25 PM,23 %,3,0,3
02/08 04:00 PM,38 %,5,0,5
02/08 04:04 PM,31 %,4,0,4
02/08 06:00 PM,23 %,3,0,3
02/08 06:26 PM,23 %,3,0,3
02/09 07:08 AM,31 %,4,0,4
02/09 07:19 AM,38 %,5,0,5
02/09 07:23 AM,31 %,4,0,4
02/09 07:26 AM,38 %,5,0,5
02/09 07:26 AM,31 %,4,0,4
02/09 08:49 AM,38 %,5,0,5
02/09 08:51 AM,46 %,6,0,6
02/09 09:04 AM,31 %,4,0,4
02/09 11:22 AM,38 %,5,0,5
02/09 11:35 AM,46 %,6,0,6
02/09 11:41 AM,38 %,5,0,5
02/09 11:43 AM,46 %,6,0,6
02/09 11:52 AM,54 %,7,0,7
02/09 11:53 AM,46 %,6,0,6
02/09 11:57 AM,62 %,8,0,8
02/09 12:36 PM,69 %,9,0,9
02/09 12:46 PM,62 %,8,0,8
02/09 02:27 PM,69 %,9,0,9
02/09 02:36 PM,77 %,10,0,10
02/09 02:37 PM,85 %,11,0,11
02/09 02:42 PM,77 %,10,0,10
02/09 03:07 PM,69 %,9,0,9
02/09 04:02 PM,77 %,10,0,10
02/09 04:24 PM,62 %,8,0,8
02/09 04:25 PM,62 %,8,0,8
02/09 05:04 PM,54 %,7,0,7
02/09 05:06 PM,46 %,6,0,6
02/09 06:11 PM,38 %,5,0,5
02/09 08:22 PM,46 %,6,0,6
02/09 08:50 PM,38 %,5,0,5
02/09 09:46 PM,31 %,4,0,4
02/10 06:20 AM,23 %,3,0,3
02/10 07:13 AM,23 %,3,0,3
02/10 07:14 AM,31 %,4,0,4
02/10 07:15 AM,38 %,5,0,5
02/10 07:42 AM,46 %,6,0,6
02/10 07:48 AM,38 %,5,0,5
02/10 08:48 AM,46 %,6,0,6
02/10 08:55 AM,54 %,7,0,7
02/10 09:10 AM,62 %,8,0,8
02/10 09:18 AM,69 %,9,0,9
02/10 09:29 AM,77 %,10,0,10
02/10 10:09 AM,85 %,11,0,11
02/10 10:18 AM,92 %,12,0,12
02/10 10:21 AM,100 %,13,0,13
02/10 10:22 AM,92 %,12,0,12
02/10 10:23 AM,100 %,13,0,13
02/10 10:28 AM,92 %,12,0,12
02/10 10:37 AM,85 %,11,0,11
02/10 11:15 AM,77 %,10,0,10
02/10 11:20 AM,69 %,9,0,9
02/10 11:35 AM,62 %,8,0,8
02/10 11:39 AM,54 %,7,0,7
02/10 12:10 PM,46 %,6,0,6
02/10 12:30 PM,38 %,5,0,5
02/10 12:58 PM,46 %,6,0,6
02/10 01:00 PM,38 %,5,0,5
02/10 01:11 PM,46 %,6,0,6
02/10 01:13 PM,54 %,7,0,7
02/10 01:25 PM,62 %,8,0,8
02/10 01:32 PM,69 %,9,0,9
02/10 01:34 PM,77 %,10,0,10
02/10 02:24 PM,69 %,9,0,9
02/10 02:25 PM,62 %,8,0,8
02/10 02:26 PM,54 %,7,0,7
02/10 02:34 PM,46 %,6,0,6
02/10 02:46 PM,38 %,5,0,5
02/10 02:52 PM,31 %,4,0,4
02/10 03:07 PM,23 %,3,0,3
02/10 03:23 PM,15 %,2,0,2
02/10 03:39 PM,8 %,1,0,1
02/10 05:04 PM,0 %,0,0,0
02/13 06:52 AM,8 %,1,0,1
02/13 07:11 AM,15 %,2,0,2
02/13 07:19 AM,23 %,3,0,3
02/13 07:23 AM,31 %,4,0,4
02/13 08:16 AM,31 %,4,0,4
02/13 08:17 AM,23 %,3,0,3
02/13 08:18 AM,23 %,3,0,3
02/13 08:21 AM,31 %,4,0,4
